,ASX code,Company name,GICs industry group,Listing date,market_cap
0,14D,1414 DEGREES LIMITED,Capital Goods,12/09/2018,9263469.0
1,1AD,ADALTA LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",22/08/2016,7568784.0
2,1AE,AURORA ENERGY METALS LIMITED,Materials,18/05/2022,17727310.0
3,1AI,ALGORAE PHARMACEUTICALS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",01/09/2004,15195553.0
4,1CG,ONE CLICK GROUP LIMITED,Capital Goods,28/04/2017,14380148.0
5,1MC,MORELLA CORPORATION LIMITED,Materials,08/01/2001,13263443.0
6,1TT,THRIVE TRIBE TECHNOLOGIES LIMITED,Software & Services,09/07/2015,1265884.0
7,29M,29METALS LIMITED,Materials,02/07/2021,644998124.0
8,360,LIFE360 INC.,Software & Services,10/05/2019,9350947160.0
9,3DA,AMAERO LTD,Capital Goods,06/12/2019,247917429.0
10,3DP,POINTERRA LIMITED,Software & Services,27/03/2008,37033533.0
11,3PL,3P LEARNING LIMITED..,Consumer Services,09/07/2014,171931109.0
12,4DS,4DS MEMORY LIMITED,Semiconductors & Semiconductor Equipment,09/12/2010,22669886.0
13,4DX,4DMEDICAL LIMITED,Health Care Equipment & Services,07/08/2020,758238469.0
14,5EA,5E ADVANCED MATERIALS INC.,Materials,01/03/2022,148134274.0
15,5GG,PENTANET LIMITED,Telecommunication Services,29/01/2021,11262463.0
16,5GN,5G NETWORKS LIMITED.,Software & Services,14/12/1999,39539286.0
17,88E,88 ENERGY LIMITED,Energy,20/01/2000,24304359.0
18,8CO,8COMMON LIMITED,Software & Services,27/08/2014,5602373.0
19,8IH,8I HOLDINGS LTD,Financial Services,17/12/2014,7659539.0
20,A11,ATLANTIC LITHIUM LIMITED,Materials,26/09/2022,140226085.0
21,A1G,AFRICAN GOLD LTD.,Materials,14/02/2019,167966811.0
22,A1M,AIC MINES LIMITED,Materials,04/11/1993,390833712.0
23,A1N,ARN MEDIA LIMITED,Media & Entertainment,07/05/1992,145568423.0
24,A2M,THE A2 MILK COMPANY LIMITED,"Food, Beverage & Tobacco",31/03/2015,6819006224.0
25,A3D,AURORA LABS LIMITED,Capital Goods,16/08/2016,22548719.0
26,A4N,ALPHA HPA LIMITED,Materials,22/10/2007,864326536.0
27,A8G,AUSTRALASIAN METALS LIMITED,Materials,13/05/2021,5267965.0
28,AA2,ARIANA RESOURCES PLC,Materials,10/09/2025,83405991.0
29,AAC,AUSTRALIAN AGRICULTURAL COMPANY LIMITED.,"Food, Beverage & Tobacco",10/08/2001,831818111.0
30,AAI,ALCOA CORPORATION,Materials,24/07/2024,16072925917.0
31,AAJ,ARUMA RESOURCES LIMITED,Materials,23/07/2010,6605204.0
32,AAL,ALFABS AUSTRALIA LIMITED,Capital Goods,28/06/2024,130397541.0
33,AAM,AUMEGA METALS LTD,Materials,08/03/2017,23037526.0
34,AAP,AUSTRALIAN AGRICULTURAL PROJECTS LIMITED,"Food, Beverage & Tobacco",07/01/2004,19535997.0
35,AAR,ASTRAL RESOURCES NL,Materials,13/11/1986,294881089.0
36,AAU,ANTILLES GOLD LIMITED,Materials,25/11/1993,25313112.0
37,ABB,AUSSIE BROADBAND LIMITED,Telecommunication Services,16/10/2020,1635500080.0
38,ABE,AUSTRALIAN BOND EXCHANGE HOLDINGS LIMITED,Financial Services,06/12/2021,3694266.0
39,ABG,ABACUS GROUP,Equity Real Estate Investment Trusts (REITs),14/11/2002,1054516007.0
40,ABV,ADVANCED BRAKING TECHNOLOGY LTD,Automobiles & Components,28/05/2002,43764147.0
41,ABX,ABX GROUP LIMITED,Materials,24/12/2009,34271095.0
42,ABY,ADORE BEAUTY GROUP LIMITED,Consumer Discretionary Distribution & Retail,23/10/2020,116507831.0
43,ACE,ACUSENSUS LIMITED.,Software & Services,12/01/2023,263401290.0
44,ACF,ACROW LIMITED,Capital Goods,27/06/2008,333994450.0
45,ACL,AUSTRALIAN CLINICAL LABS LIMITED,Health Care Equipment & Services,14/05/2021,526678828.0
46,ACM,AUSTRALIAN CRITICAL MINERALS LIMITED,Materials,03/07/2023,9497706.0
47,ACP,AUDALIA RESOURCES LIMITED,Materials,06/07/2011,21115541.0
48,ACQ,ACORN CAPITAL INVESTMENT FUND LIMITED,Not Applic,01/05/2014,80639102.0
49,ACR,ACRUX LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",29/09/2004,6138953.0
50,ACS,ACCENT RESOURCES NL,Materials,26/08/2005,2937224.0
51,ACU,ACUMENTIS GROUP LIMITED,Real Estate Management & Development,05/12/2003,16721628.0
52,ACW,ACTINOGEN MEDICAL LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",16/10/2007,155745404.0
53,AD1,ADNEO LIMITED,Media & Entertainment,23/06/2016,15982596.0
54,AD8,AUDINATE GROUP LIMITED,Technology Hardware & Equipment,30/06/2017,354179944.0
55,ADC,ACDC METALS LTD,Materials,17/01/2023,5245153.0
56,ADD,ADAVALE RESOURCES LIMITED,Energy,06/02/1992,13434248.0
57,ADG,ADELONG GOLD LIMITED,Materials,21/03/2007,25668364.0
58,ADH,ADAIRS LIMITED,Consumer Discretionary Distribution & Retail,17/06/2015,339600466.0
59,ADN,ANDROMEDA METALS LIMITED,Materials,17/09/1996,59273936.0
60,ADO,ANTEOTECH LTD,"Pharmaceuticals, Biotechnology & Life Sciences",07/04/2000,43639018.0
61,ADR,ADHERIUM LIMITED,Health Care Equipment & Services,26/08/2015,9685387.0
62,ADS,ADSLOT LTD.,Software & Services,17/12/1987,5799292.0
63,ADV,ARDIDEN LTD,Materials,25/10/2005,20643189.0
64,ADX,ADX ENERGY LTD,Energy,29/01/1987,16410798.0
65,ADY,ADMIRALTY RESOURCES NL.,Materials,01/12/1983,
66,AEE,AURA ENERGY LIMITED,Energy,30/05/2006,183746609.0
67,AEF,AUSTRALIAN ETHICAL INVESTMENT LIMITED,Financial Services,17/12/2002,721349769.0
68,AEI,AERIS ENVIRONMENTAL LTD,Commercial & Professional Services,12/09/2000,14795673.0
69,AELDA,AMPLITUDE ENERGY LIMITED,Energy,13/03/2002,813924546.0
70,AER,AEERIS LTD,Media & Entertainment,01/04/2015,5470420.0
71,AEV,AVENIRA LIMITED,Materials,10/10/2006,34069152.0
72,AFA,ASF GROUP LIMITED,Financial Services,29/05/1985,47543852.0
73,AFG,AUSTRALIAN FINANCE GROUP LTD,Financial Services,22/05/2015,644071349.0
74,AFI,AUSTRALIAN FOUNDATION INVESTMENT COMPANY LIMITED,Not Applic,30/06/1962,9052573895.0
75,AFL,AF LEGAL GROUP LTD,Commercial & Professional Services,19/09/2003,14837691.0
76,AFP,AFT PHARMACEUTICALS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",22/12/2015,284187565.0
77,AGC,AUSTRALIAN GOLD AND COPPER LTD,Materials,20/01/2021,53856063.0
78,AGD,AUSTRAL GOLD LIMITED,Materials,18/04/1997,57049276.0
79,AGE,ALLIGATOR ENERGY LIMITED,Energy,03/02/2011,115362888.0
80,AGH,ALTHEA GROUP HOLDINGS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",21/09/2018,20036277.0
81,AGI,AINSWORTH GAME TECHNOLOGY LIMITED,Consumer Services,17/12/2001,341845838.0
82,AGL,AGL ENERGY LIMITED.,Utilities,12/10/2006,6196002016.0
83,AGN,ARGENICA THERAPEUTICS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",11/06/2021,32114178.0
84,AGR,AGUIA RESOURCES LIMITED,Materials,13/02/2008,34567948.0
85,AGY,ARGOSY MINERALS LIMITED,Materials,03/04/1997,87547493.0
86,AHC,AUSTCO HEALTHCARE LIMITED,Health Care Equipment & Services,24/09/2004,161143051.0
87,AHF,AUSTRALIAN DAIRY NUTRITIONALS LIMITED,"Food, Beverage & Tobacco",30/06/2006,28989551.0
88,AHK,ARK MINES LIMITED,Materials,09/05/2011,31119620.0
89,AHL,ADRAD HOLDINGS LIMITED,Automobiles & Components,30/09/2022,73595827.0
90,AHN,ATHENA RESOURCES LIMITED,Materials,22/11/2006,15861699.0
91,AHX,APIAM ANIMAL HEALTH LIMITED,Health Care Equipment & Services,15/12/2015,159133362.0
92,AI1,ADISYN LTD,Software & Services,10/11/2020,55147545.0
93,AIA,AUCKLAND INTERNATIONAL AIRPORT LIMITED,Transportation,22/02/1999,11525819820.0
94,AIH,ADVANCED INNERGY HOLDINGS LIMITED,Class Pend,31/10/2025,365327208.0
