cik,name,ticker,exchange,market_cap
1647822,"Jingbo Technology, Inc.",SVMB,OTC,1166162304.0
1831481,Sable Offshore Corp.,SOC,NYSE,1329416832.0
38264,"Forward Industries, Inc.",FORD,Nasdaq,1441245952.0
1892492,Eightco Holdings Inc.,ORBS,Nasdaq,1206807552.0
1828102,Karooooo Ltd.,KARO,Nasdaq,1433140224.0
1737450,Opera Ltd,OPRA,Nasdaq,1395512192.0
1360214,"HARROW, INC.",HROW,Nasdaq,1425322240.0
1829118,Tuya Inc.,TUYA,NYSE,1408610560.0
1819516,Wheels Up Experience Inc.,UP,NYSE,1159745152.0
708821,PAR TECHNOLOGY CORP,PAR,NYSE,1470252416.0
908315,WINMARK CORP,WINA,Nasdaq,1468971136.0
1005731,IDT CORP,IDT,NYSE,1278707840.0
1495222,Oxford Lane Capital Corp.,OXLC,Nasdaq,1493133952.0
1754195,Trulieve Cannabis Corp.,TCNNF,OTC,1467297024.0
1829864,"TaskUs, Inc.",TASK,Nasdaq,1267251456.0
1690585,"Dianthus Therapeutics, Inc. /DE/",DNTH,Nasdaq,1310750080.0
1771515,Grocery Outlet Holding Corp.,GO,Nasdaq,1485283968.0
34782,1ST SOURCE CORP,SRCE,Nasdaq,1491005696.0
1830487,Pharvaris N.V.,PHVS,Nasdaq,1478246528.0
932695,CHINA YUCHAI INTERNATIONAL LTD,CYD,NYSE,1390053760.0
1677576,INNOVATIVE INDUSTRIAL PROPERTIES INC,IIPR,NYSE,1480439296.0
1411579,"AMC ENTERTAINMENT HOLDINGS, INC.",AMC,NYSE,1379818240.0
1631574,Wave Life Sciences Ltd.,WVE,Nasdaq,1135288960.0
1768666,BlackRock Science & Technology Term Trust,BSTZ,NYSE,1482811392.0
836157,LINDSAY CORP,LNN,NYSE,1259988224.0
1866692,"Amplitude, Inc.",AMPL,Nasdaq,1343749632.0
912892,"GRUPO TELEVISA, S.A.B.",TV,NYSE,1287282816.0
719220,S&T BANCORP INC,STBA,Nasdaq,1397492224.0
1105122,FORAN MINING CORP,FMCXF,OTC,1295347840.0
1982708,Anbio Biotechnology,NNNN,Nasdaq,1008180864.0
789460,WORLD KINECT CORP,WKC,NYSE,1482295936.0
1875444,"Arhaus, Inc.",ARHS,Nasdaq,1474596608.0
18748,CENTRAL SECURITIES CORP,CET,NYSE,1477488000.0
1809519,"GoodRx Holdings, Inc.",GDRX,Nasdaq,1372427392.0
356171,TRICO BANCSHARES /,TCBK,Nasdaq,1406247552.0
1475841,National Bank Holdings Corp,NBHC,NYSE,1418084608.0
1503584,Costamare Inc.,CMRE,NYSE,1373475712.0
714395,"GERMAN AMERICAN BANCORP, INC.",GABC,Nasdaq,1473846912.0
104894,Elme Communities,ELME,NYSE,1467883264.0
1528437,BlackRock Municipal 2030 Target Term Trust,BTT,NYSE,1446775552.0
1834494,"MeridianLink, Inc.",MLNK,NYSE,1478231936.0
1828016,Playtika Holding Corp.,PLTK,Nasdaq,1379174912.0
1756708,Jumia Technologies AG,JMIA,NYSE,1332395520.0
1657788,"Kimbell Royalty Partners, LP",KRP,NYSE,1441384064.0
1484769,fuboTV Inc. /FL,FUBO,NYSE,1239607808.0
1840572,Lucky Strike Entertainment Corp,LUCK,NYSE,1172199040.0
1821159,EVgo Inc.,EVGO,Nasdaq,1263787648.0
1782524,Morgan Stanley Direct Lending Fund,MSDL,NYSE,1489220352.0
876883,Stagwell Inc,STGW,Nasdaq,1321972224.0
40417,GENERAL AMERICAN INVESTORS CO INC,GAM,NYSE,1466841984.0
2020795,Uniti Group Inc.,UNIT,Nasdaq,1477149824.0
1721947,Jamf Holding Corp.,JAMF,Nasdaq,1413382528.0
1332174,iShares S&P GSCI Commodity-Indexed Trust,GSG,NYSE,1454287488.0
1539638,"Triumph Financial, Inc.",TFIN,NYSE,1419150336.0
933036,"UPBOUND GROUP, INC.",UPBD,Nasdaq,1315967104.0
1577670,Ladder Capital Corp,LADR,NYSE,1401808512.0
1709682,"Custom Truck One Source, Inc.",CTOS,NYSE,1497558912.0
1865187,"Aris Water Solutions, Inc.",ARIS,NYSE,1402560640.0
1616000,"Xenia Hotels & Resorts, Inc.",XHR,NYSE,1324946560.0
1796073,Vizsla Silver Corp.,VZLA,NYSE,1416875776.0
1616678,BlackRock Science & Technology Trust,BST,NYSE,1462754432.0
1817713,"Janux Therapeutics, Inc.",JANX,Nasdaq,1496338944.0
57131,LA-Z-BOY INC,LZB,NYSE,1348712832.0
923120,GREENBRIER COMPANIES INC,GBX,NYSE,1418795904.0
