,cik,name,ticker,exchange,market_cap
0,1094032,QDM International Inc.,QDMI,OTC,158523792
1,1831481,Sable Offshore Corp.,SOC,NYSE,586097664
2,38264,"Forward Industries, Inc.",FORD,Nasdaq,772083008
3,1892492,Eightco Holdings Inc.,ORBS,Nasdaq,530093024
4,1527762,Mercurity Fintech Holding Inc.,MFH,Nasdaq,784024448
5,1821806,"Leslie's, Inc.",LESL,Nasdaq,27497778
6,2026478,Newsmax Inc.,NMAX,NYSE,765185472
7,2058601,BRBI BR Partners S.A.,BRBI,Nasdaq,408170816
8,1769731,AMTD IDEA GROUP,AMTD,NYSE,81833112
9,1424929,FOX FACTORY HOLDING CORP,FOXF,Nasdaq,589817088
10,1845840,Telesat Corp,TSAT,Nasdaq,377524896
11,1669779,"Camping World Holdings, Inc.",CWH,NYSE,699809856
12,1628908,"Evolent Health, Inc.",EVH,NYSE,464259552
13,1094324,SIFY TECHNOLOGIES LTD,SIFY,Nasdaq,789342848
14,1579214,"Emerald Holding, Inc.",EEX,NYSE,791229440
15,1607939,"Udemy, Inc.",UDMY,Nasdaq,762622976
16,1067294,"CRACKER BARREL OLD COUNTRY STORE, INC",CBRL,Nasdaq,674296064
17,794619,AMERICAN WOODMARK CORP,AMWD,Nasdaq,752925248
18,2011674,YD Bio Ltd,YDES,Nasdaq,713676160
19,1894562,"Prime Medicine, Inc.",PRME,Nasdaq,601100480
20,1477815,"Sweetgreen, Inc.",SG,NYSE,703138880
21,1632127,"Cable One, Inc.",CABO,NYSE,608711808
22,1830043,Bumble Inc.,BMBL,Nasdaq,594468096
23,6845,"APOGEE ENTERPRISES, INC.",APOG,Nasdaq,724057920
24,1490281,"Groupon, Inc.",GRPN,Nasdaq,754371456
25,1113809,BUILD-A-BEAR WORKSHOP INC,BBW,NYSE,647644608
26,108385,WORLD ACCEPTANCE CORP,WRLD,Nasdaq,695909632
27,1434621,"LendingTree, Inc.",TREE,Nasdaq,692967552
28,1982518,Smith Douglas Homes Corp.,SDHC,NYSE,156906896
29,1122904,"NETGEAR, INC.",NTGR,Nasdaq,782495936
30,1040470,AEHR TEST SYSTEMS,AEHR,Nasdaq,622336640
31,1743759,"Corsair Gaming, Inc.",CRSR,Nasdaq,662897792
